hotel name --- Rock view stay, key -- paymenttype, error -- list index out of range 
hotel name --- Rock view stay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Sunset nest Lillus apartment, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Mamring Home stay - Philamon Mukhia, key -- paymenttype, error -- list index out of range 
hotel name --- Orange Pekoe 2 bedroom apartment, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Primrose Apartment, key -- paymenttype, error -- list index out of range 
hotel name --- Astoria Rest Nest Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Arya Treetops And Tea Trails by VEO - Part of StayVista, key -- paymenttype, error -- list index out of range 
hotel name --- Hotel Himalaya Gateway Residency In Darjeeling, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Lamahatta Rai Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Darjeeling Homes The Grace, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- PRAKRITREE Cottage & Farms, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Mane Dara homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Hotel White Yak, key -- cancelType, error -- list index out of range 
hotel name --- Hotel White Yak, key -- paymenttype, error -- list index out of range 
hotel name --- Sumitel Vista 800m from Mall Road, key -- paymenttype, error -- list index out of range 
hotel name --- Chhota Haazri, By The Rajbari Bawali, key -- paymenttype, error -- list index out of range 
hotel name --- Chhota Haazri, By The Rajbari Bawali, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Hotel Peaceful Palace, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Hotel Queen, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Vamoose View Point, key -- paymenttype, error -- list index out of range 
hotel name --- Vamoose View Point, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Adithyanaman Cottage Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Mountain valley home stay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Hotel Kundu By StayApart, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Stay by Tenzing Rock, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Adrija Luxury homes, Kanchenjunga View, 2000 sqft, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Hillcrest Prapti Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Albatross, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Vamoose Rhododendron, key -- cancelType, error -- list index out of range 
hotel name --- Vamoose Rhododendron, key -- paymenttype, error -- list index out of range 
hotel name --- Vamoose Rhododendron, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Vamoose Quaint Wood Cottage, key -- cancelType, error -- list index out of range 
hotel name --- Vamoose Quaint Wood Cottage, key -- paymenttype, error -- list index out of range 
hotel name --- Vamoose Quaint Wood Cottage, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Gaurav Retreat By StayApart, key -- cancelType, error -- list index out of range 
hotel name --- Gaurav Retreat By StayApart, key -- paymenttype, error -- list index out of range 
hotel name --- Gaurav Retreat By StayApart, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Hotel Tin Tin Boutique Bijanbari, key -- paymenttype, error -- list index out of range 
hotel name --- Hillcrest Prapti Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Khaling Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- Khaling Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Vamoose Tamang, key -- paymenttype, error -- list index out of range 
hotel name --- Vamoose Tamang, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
